Date,Ratings,Review,Park
Aug 2019,4.0,"Best for photo shoots and love the rose garden,the park is surrounded by lush green trees,& flowers and small pond give the attraction of the park,there are few number of benches for sitting along with small food canteen who sells various fast food,the other attraction of the park is well shaped Chinese pagoda shade,entry fee INR 40 and camera fee INR 30 and big car parking area.",Central Park
Dec 2019 ,5.0,Another attraction in the Central Park is its beautiful butterfly garden which is home to several species of colorful butterflies.,Central Park
Apr 2019 ,4.0,There is enough greenery to bring people and a lot of couples.Nice place for photos and maintained well,Central Park
Jan 2019 ,3.0,"If you are in Salt Lake City of Kolkata, you must visit this place. You will love to relax and enjoy a good walk in clean environment.Governor Amolak Rattan Kohli",Central Park
Feb 2019 ,3.0,Not a good place to just hang out with friends..... Literally it was an awkward experience!!!! I'm not sure if I'll go there again!!!!,Central Park
Feb 2019 ,5.0,"This is a very good place to enjoy some times with friends in salt lake, Sector-3.Opposite-Bidyut Bhavan",Central Park
Dec 2018 ,3.0,"Greenery in the city of joy...a wonderful place for jogging...opens at 5.00 am -9.00 am.Excellent running track..its well maintained. Has clean toilets and drinking water facility.I was searching for a place for my morning run, and i found this wonderful place.",Central Park
Dec 2018 ,3.0,"You can really enjoy a walkOf around 3 KM inside park . There is a Rose Garden , Butterfly Garden, a Lake , small Bridge over water , place to do Yoga .. A small cafe is also there . Fishing lovers can catch fishes at Lake.. although the park needs more maintenance but still a Good place to spend time in fresh air, Lovely Plants & Flowers .",Central Park
Sep 2018 ,5.0,Waking here in the evening time was good for health. It was green park. But water lodging was everywhere. This should be cleaned.,Central Park
Jul 2018,4.0,"need more maintenance. During monsoon, regular cleaning work is not properly done. the caretakers are freeloaders actually.",Central Park
Sep 2017,4.0,"Perfect for a walk with your friends or a pic nic. If you a outsider tourist, you can have a chance to be asked to be photographed for lots of people. I dont know why, but it is fun.",Central Park
Jun 2018 ,5.0,"once a popular park in salt lake are, this has now fallen into disrepute becasue of myriad instances in and around this place. best avoided after dark.",Central Park
Jan 2018 ,4.0,"In a city where the air quality levels are always severe, this place literally gives a breather to your lungs. 'Bonobitan' as it is called, is a part of my daily life (morning walks) whenever I am in Kolkata. The place is well spread out, with a water-body in the middle and wooded areas all around. Pathways through the woods make walking a very nice experience, especially in the early mornings. There is a small island in the middle of the lake, accessible through a pathway and a bridge. Not advisable to be here after sunset as the place becomes pretty dark and I'd not rule out the presence of unwanted elements either.",Central Park
Jan 2018 ,3.0,A bit of green amidst the buildings of salt lake township. A large water body in the middle with seating arrangements.Good for morning walks and relaxed bird watching at the lake.,Central Park
Feb 2017 ,3.0,It's good place for small get together or picnic with friends. Trees and birds makes it a preferred place for photography also..,Central Park
Feb 2017 ,5.0,"The park is very beautiful and decorated with with variety of rose flower and other flowers there are number of benches for sitting and a beautiful pagoda shape shade and sounded by big pond but most of the park and benches are occupied with young boys and girls for lovemaking, there are few food court inside the park,but strictly not for families with young kid.",Central Park
Dec 2017 ,3.0,"This is the walk destination in salt Lake. Good walk trails.Maintenance focus is bare minimal.Too many strays inside the park.Like the stretch next to the water body, like watching the birds,fish and an occasional water snake ð",Central Park
Dec 2016 ,3.0,It's a Large trench of greenery in the center of Salt Lake City which is the second largest green patch of Kolkatta.Great place for morning walk. it has small island park with many flowers. This can be reached by bridge. The island has a small pagoda like structure . The lake of park is the home of various seasonal birds. It is located near Karunamoyee bus terminal.,Central Park
Sep 2017 ,5.0,"Excellent place for photographers, Morning walkers and young couples. Those are interested in Birding and looking for a place in kolkata, I think this is the best place for them. Different kinds of Flowers and butterflies are there.",Central Park
Jul 2017 ,4.0,"A great place for nature lovers (and bird lovers in particular) within the city, but away from the din of the city and for the love birds too who can't afford expensive joints and hideouts. In fact, during day hours love birds may spoil/take away most of the charms for an earnest bird watcher.",Central Park
Nov 2016 ,5.0,"Green island amidst concrete jungle...Wide expanse with lots of greenery and water bodies... Best time to visit is mornings...Try the various herb sherbets sold just outside including pudina/lauki etc....Plastic sheets are also available outside on hire for sitting on the grass...A little later, it starts getting filled up with hundreds of couples who sit in compromising position and heavily pollute the atmosphere and serenity of the surroundings...lackadaisical policing....not recommended for family visits with children",Central Park
Aug 2016 ,4.0,"This is a big green area in Salt Lake, thronged by a lot of people to enjoy the greenery and use it for picnics, recreations, etc.",Central Park
Mar 2016 ,3.0,"This is a park for couples and groups of people, women may avoid venturing into the park alone. It covers a big area and good for morning walk, jogging, boating and picnics.",Central Park
Feb 2017 ,3.0,this is mainly for couple to spent some time closelyif you go there you got realize it.insteed of it the park's natural beaty is nice.there is a big lake inside it.here also you got boat for boating.on round of this there are many sitting arrengement.,Central Park
Dec 2016 ,5.0,"We visited the park on 28/12 with my college friends,where we enjoyed the best photo shoot and love the rose garden,the park is surrounded by lush green trees,& flowers and small pond give the attraction of the park,there are few number of benches for sitting along with small food canteen who sells various fast food,the other attraction of the park is well shaped Chinese pagoda shade,entry fee INR 40 and camera fee INR 30 and big car parking area.",Central Park
Jul 2016 ,3.0,"It's a round shaped greenery in the centre of Bidhan Nagar or Salt Lake City, and the second biggest green area in Kolkata after Maidan, located near Karunamoyee. International /local bus terminal, fair ground, district sports ground, and Metro station are located inside with Bonobitan. Bonobitan is a park with many flowers, spread around a big water body with a small island inside. The island has a small pagoda like structure and can be reach using a small bridge. The water body is the home of various seasonal birds, ducks and etc.. Great place for morning and afternoon walk.",Central Park
Nov 2016 ,3.0,"I visited my grandmother in Salt Lake who stays in Karunamoyee area. In the morning, she took me to have a walk around Banabitan (the Bengali name for Central Park). It was really a pleasant walk with lot of greenery in & around.",Central Park
Nov 2016 ,5.0,"There are only a few spots left in this polluting city of Kolkata, that offer it's residents some honest greens and this one is undoubtedly among them.The park is a regular for daily morning walkers who throng the place from as early as 5 am. It has vast ponds, a beautiful flora with the likes of a rose garden, butterfly garden etc and great for bird watches as well.Best time to visit is early mornings!",Central Park
Oct 2016 ,4.0,i have visited this place before some days and it is a very well maintained place in saltlake and it feels great to sit beside the river and to feel the air.,Central Park
Oct 2016 ,4.0,Its really a beautiful place to visit but issue is that if you are single or with your family you will not enjoy the beauty of this park as you will find couples all around doing all the dirty things. Kissing and smoothing is very much common. They do way beyond than Kissing and smoothing. So now you can predict how vulgar and rubbish site is this to visit.,Central Park
Nov 2015 ,5.0,"Very nice surrounding for couples, its better to hangout there instead of roads. Its maintains privacy",Central Park
Oct 2016 ,4.0,"The park is in the center of Salt lake City. The environment is calm and composed, ideal for couples wanting to spend a quality time together. The area is huge with a lake in the middle. However, the boating facility is no longer available. It was a fascinating experience for me there. Spend time with nature and your loved ones!!Entry fee: Rs. 30",Central Park
Sep 2016 ,3.0,"It's is a park in the centre of Salt Lake city. Probably the first of it's kind, where one can enter against a paid ticket. It's a well maintained garden very close to Municipal building and Karunamoyee Housing Estate. It is a good place for kids and friends.",Central Park
Oct 2015 ,3.0,"This park is situated inSalt Lake, near KARUNAMOYEE, its popular for young couple and local people are avoiding the place after 10 AM because of crowd coming from outside for their day hang out for romance. Local people are going in the morning for walk.",Central Park
Apr 2016 ,5.0,"Got a chance to explore the natural beauty and fragrance of flowers , creeping of birds , flying butterflies , a natural clean & healthy air in early morning . It's a place where you can find many people are coming for a walk or jogging . It has a very good jogging track of 3KM that covers the peripheral of the park . A great water body inside the park make it more beautiful especially during sun rise .Never the less the park can be maintained in a better way in terms of keeping the natural resource saved for future.",Central Park
May 2016 ,3.0,Located in heart of Salt Lake and easily accessible through public transport. Park is well decorated with different type of flowers. There is a big lake middle of the park with sitting arrangement.,Central Park
Jan 2015 ,3.0,nothing to do there only couples can be spotted looking for corners. pure waste of time. would not suggest.,Central Park
